Ticker,Correlated Ticker,Correlation
ULTRACEMCO,ASIANPAINT,0.017379064834706564
WIPRO,ASIANPAINT,-0.23092146904728902
ADANIENT,AXISBANK,0.5370482147197121
ADANIPORTS,AXISBANK,0.7702069608401569
APOLLOHOSP,AXISBANK,0.6073921786517399
ASIANPAINT,AXISBANK,0.0009706255827002958
AXISBANK,AXISBANK,1.0
BAJAJ-AUTO,AXISBANK,0.742849691422001
BAJAJFINSV,AXISBANK,0.3345580156401274
BAJFINANCE,AXISBANK,-0.15524950924826458
BEL,AXISBANK,0.8630114680436075
BHARTIARTL,AXISBANK,0.767627353890485
BPCL,AXISBANK,0.6741796150910535
BRITANNIA,AXISBANK,0.7958166476843181
CIPLA,AXISBANK,0.6952999626463754
COALINDIA,AXISBANK,0.7378415362164866
DRREDDY,AXISBANK,0.6437012415647027
EICHERMOT,AXISBANK,0.8398005857768182
GRASIM,AXISBANK,0.848108109216943
HCLTECH,AXISBANK,0.4531070592083128
HDFCBANK,AXISBANK,0.6346575695904082
HDFCLIFE,AXISBANK,0.2583527308869318
HEROMOTOCO,AXISBANK,0.836953151679815
HINDALCO,AXISBANK,0.8346635212278638
HINDUNILVR,AXISBANK,0.4743299961213247
ICICIBANK,AXISBANK,0.8196406924090632
INDUSINDBK,AXISBANK,-0.20532370062711805
INFY,AXISBANK,0.5402659338539675
ITC,AXISBANK,0.4640639935529281
JSWSTEEL,AXISBANK,0.8111168615538316
KOTAKBANK,AXISBANK,0.27550311697272756
LT,AXISBANK,0.6532091350511126
M&M,AXISBANK,0.8222750581850613
MARUTI,AXISBANK,0.5965354418542924
NESTLEIND,AXISBANK,0.32696593012073444
NTPC,AXISBANK,0.7691170175890273
ONGC,AXISBANK,0.6639914410503591
POWERGRID,AXISBANK,0.8205244348952103
RELIANCE,AXISBANK,0.6498504076605374
SBILIFE,AXISBANK,0.6008547907020817
SBIN,AXISBANK,0.7726752205300433
SHRIRAMFIN,AXISBANK,0.7407593343072069
SUNPHARMA,AXISBANK,0.62085434000687
TATACONSUM,AXISBANK,0.531075651023487
TATAMOTORS,AXISBANK,0.5968310346878762
TATASTEEL,AXISBANK,0.7096679237986803
TCS,AXISBANK,0.5964713596493333
TECHM,AXISBANK,0.6814830653333906
TITAN,AXISBANK,0.002642901574939365
TRENT,AXISBANK,0.7354663141609872
ULTRACEMCO,AXISBANK,0.8676938536347364
WIPRO,AXISBANK,0.67454252720235
ADANIENT,BAJAJ-AUTO,0.634550753331499
ADANIPORTS,BAJAJ-AUTO,0.8877179967624231
APOLLOHOSP,BAJAJ-AUTO,0.8937532995257986
ASIANPAINT,BAJAJ-AUTO,-0.16256324626839544
AXISBANK,BAJAJ-AUTO,0.742849691422001
BAJAJ-AUTO,BAJAJ-AUTO,1.0
BAJAJFINSV,BAJAJ-AUTO,0.5163647143841628
BAJFINANCE,BAJAJ-AUTO,-0.3229367487874204
BEL,BAJAJ-AUTO,0.8726666242854081
BHARTIARTL,BAJAJ-AUTO,0.9510099135478611
BPCL,BAJAJ-AUTO,0.9242632690230087
BRITANNIA,BAJAJ-AUTO,0.8287668825869248
CIPLA,BAJAJ-AUTO,0.951692014449725
COALINDIA,BAJAJ-AUTO,0.8960681810297979
DRREDDY,BAJAJ-AUTO,0.8344738341352078
EICHERMOT,BAJAJ-AUTO,0.8476524470762181
GRASIM,BAJAJ-AUTO,0.9023197997657907
HCLTECH,BAJAJ-AUTO,0.7519698831343541
HDFCBANK,BAJAJ-AUTO,0.45388629097481276
HDFCLIFE,BAJAJ-AUTO,0.3839159562842059
HEROMOTOCO,BAJAJ-AUTO,0.9312820812427159
HINDALCO,BAJAJ-AUTO,0.8687573412579457
HINDUNILVR,BAJAJ-AUTO,0.42400671543971247
ICICIBANK,BAJAJ-AUTO,0.9202960361470749
INDUSINDBK,BAJAJ-AUTO,-0.34810910601193923
INFY,BAJAJ-AUTO,0.7262791198747641
ITC,BAJAJ-AUTO,0.5207861029942773
JSWSTEEL,BAJAJ-AUTO,0.8837367037077566
KOTAKBANK,BAJAJ-AUTO,0.17060042012272766
LT,BAJAJ-AUTO,0.7462047167275202
M&M,BAJAJ-AUTO,0.893160260669649
MARUTI,BAJAJ-AUTO,0.7936297421997915
NESTLEIND,BAJAJ-AUTO,0.2961107502986452
NTPC,BAJAJ-AUTO,0.956263204703824
ONGC,BAJAJ-AUTO,0.8504366108603955
POWERGRID,BAJAJ-AUTO,0.9318575524547431
RELIANCE,BAJAJ-AUTO,0.7283594692031438
SBILIFE,BAJAJ-AUTO,0.8218330589818943
SBIN,BAJAJ-AUTO,0.8517529073283509
SHRIRAMFIN,BAJAJ-AUTO,0.9373933519524693
SUNPHARMA,BAJAJ-AUTO,0.9455713001891608
TATACONSUM,BAJAJ-AUTO,0.7113795172283761
TATAMOTORS,BAJAJ-AUTO,0.7863091126071757
TATASTEEL,BAJAJ-AUTO,0.7454958970189611
TCS,BAJAJ-AUTO,0.8226054603800897
TECHM,BAJAJ-AUTO,0.8018322018775748
TITAN,BAJAJ-AUTO,0.1997104077447448
TRENT,BAJAJ-AUTO,0.9363827154609684
ULTRACEMCO,BAJAJ-AUTO,0.860869140938894
WIPRO,BAJAJ-AUTO,0.8164226906710327
ADANIENT,BAJAJFINSV,0.0801126221968504
ADANIPORTS,BAJAJFINSV,0.21508548075248585
APOLLOHOSP,BAJAJFINSV,0.5091495667181797
ASIANPAINT,BAJAJFINSV,0.4634438298513192
AXISBANK,BAJAJFINSV,0.3345580156401274
BAJAJ-AUTO,BAJAJFINSV,0.5163647143841628
BAJAJFINSV,BAJAJFINSV,1.0
BAJFINANCE,BAJAJFINSV,0.3854756012262876
BEL,BAJAJFINSV,0.24828793979332542
BHARTIARTL,BAJAJFINSV,0.5179929181074706
BPCL,BAJAJFINSV,0.3237831200171805
BRITANNIA,BAJAJFINSV,0.6093965751861877
CIPLA,BAJAJFINSV,0.40670380937495276
COALINDIA,BAJAJFINSV,0.2294846116612005
DRREDDY,BAJAJFINSV,0.3769771954855501
EICHERMOT,BAJAJFINSV,0.3542117024369978
GRASIM,BAJAJFINSV,0.4335131155763095
HCLTECH,BAJAJFINSV,0.5676129040280311
HDFCBANK,BAJAJFINSV,0.5797138593197866
HDFCLIFE,BAJAJFINSV,0.6983518846978485
HEROMOTOCO,BAJAJFINSV,0.34449271551526567
HINDALCO,BAJAJFINSV,0.4471220549167794
HINDUNILVR,BAJAJFINSV,0.6436582450825926
ICICIBANK,BAJAJFINSV,0.4891618807668737
